"subj","age","item","freq","gram","rating","accuracy","region","word","rt"
1,51,1,"high","yes",4,1,1,"the",446.329311447722
1,51,2,"high","yes",5,1,1,"the",318.494429937686
1,51,3,"high","yes",5,1,1,"the",203.701503089749
1,51,4,"high","yes",5,1,1,"the",464.435752066522
1,51,5,"high","yes",5,1,1,"the",241.716838643863
1,51,6,"high","no",4,1,1,"the",446.301272412814
1,51,7,"high","no",3,1,1,"the",291.172477616788
1,51,8,"high","no",1,0,1,"the",422.948185462407
1,51,9,"high","no",4,1,1,"the",219.026213674487
1,51,10,"high","no",1,1,1,"the",338.443711398916
1,51,11,"low","yes",4,1,1,"the",346.733068509104
1,51,12,"low","yes",5,1,1,"the",536.0995349664
1,51,13,"low","yes",5,1,1,"the",257.00468703421
1,51,14,"low","yes",4,1,1,"the",394.868283967491
1,51,15,"low","yes",4,1,1,"the",403.247460359833
1,51,16,"low","no",1,1,1,"the",408.818395746086
1,51,17,"low","no",2,1,1,"the",460.514034071281
1,51,18,"low","no",3,1,1,"the",190.63100032416
1,51,19,"low","no",1,1,1,"the",337.633105386154
1,51,20,"low","no",4,1,1,"the",140.151027410769
2,55,1,"high","yes",5,1,1,"the",405.033095701891
2,55,2,"high","yes",3,1,1,"the",470.813336485631
2,55,3,"high","yes",5,1,1,"the",458.450297790179
2,55,4,"high","yes",5,1,1,"the",514.645571762243
2,55,5,"high","yes",4,1,1,"the",291.639079295058
2,55,6,"high","no",3,1,1,"the",325.261178474724
2,55,7,"high","no",1,1,1,"the",193.037570401322
2,55,8,"high","no",3,1,1,"the",380.08158869109
2,55,9,"high","no",4,1,1,"the",635.621771837827
2,55,10,"high","no",2,1,1,"the",212.761718689766
2,55,11,"low","yes",3,1,1,"the",281.068248305545
2,55,12,"low","yes",2,1,1,"the",441.275814347606
2,55,13,"low","yes",5,1,1,"the",448.840795983479
2,55,14,"low","yes",4,0,1,"the",324.305728683398
2,55,15,"low","yes",5,1,1,"the",475.82305307154
2,55,16,"low","no",1,1,1,"the",337.402318614795
2,55,17,"low","no",1,1,1,"the",329.041448509381
2,55,18,"low","no",1,0,1,"the",396.884124219519
