subject,item,factor1,factor2,rating
1,1,Baseline,Absent,5
1,2,Baseline,Absent,6
1,3,Baseline,Absent,7
1,4,Baseline,Absent,7
1,5,Baseline,Absent,7
1,6,Baseline,Absent,7
1,7,Baseline,Present,7
1,8,Baseline,Present,7
1,9,Baseline,Present,7
1,10,Baseline,Present,7
1,11,Baseline,Present,7
1,12,Baseline,Present,5
1,13,Treatment,Absent,5
1,14,Treatment,Absent,7
1,15,Treatment,Absent,5
1,16,Treatment,Absent,5
1,17,Treatment,Absent,5
1,18,Treatment,Absent,3
1,19,Treatment,Present,7
1,20,Treatment,Present,2
1,21,Treatment,Present,4
1,22,Treatment,Present,1
1,23,Treatment,Present,3
1,24,Treatment,Present,7
2,1,Baseline,Absent,7
2,2,Baseline,Absent,6
2,3,Baseline,Absent,6
2,4,Baseline,Absent,5
2,5,Baseline,Absent,7
2,6,Baseline,Absent,7
2,7,Baseline,Present,7
2,8,Baseline,Present,7
2,9,Baseline,Present,3
2,10,Baseline,Present,6
2,11,Baseline,Present,5
2,12,Baseline,Present,5
2,13,Treatment,Absent,1
2,14,Treatment,Absent,3
2,15,Treatment,Absent,4
2,16,Treatment,Absent,3
2,17,Treatment,Absent,5
2,18,Treatment,Absent,3
2,19,Treatment,Present,2
2,20,Treatment,Present,3
2,21,Treatment,Present,4
2,22,Treatment,Present,1
2,23,Treatment,Present,4
2,24,Treatment,Present,3
3,1,Baseline,Absent,7
3,2,Baseline,Absent,5
3,3,Baseline,Absent,7
3,4,Baseline,Absent,7
3,5,Baseline,Absent,7
3,6,Baseline,Absent,7
3,7,Baseline,Present,6
3,8,Baseline,Present,6
3,9,Baseline,Present,7
3,10,Baseline,Present,7
3,11,Baseline,Present,7
3,12,Baseline,Present,7
3,13,Treatment,Absent,5
3,14,Treatment,Absent,6
3,15,Treatment,Absent,3
3,16,Treatment,Absent,1
3,17,Treatment,Absent,2
3,18,Treatment,Absent,3
3,19,Treatment,Present,3
3,20,Treatment,Present,2
3,21,Treatment,Present,1
3,22,Treatment,Present,2
3,23,Treatment,Present,4
3,24,Treatment,Present,1
4,1,Baseline,Absent,7
4,2,Baseline,Absent,6
4,3,Baseline,Absent,6
4,4,Baseline,Absent,5
4,5,Baseline,Absent,2
4,6,Baseline,Absent,4
4,7,Baseline,Present,4
4,8,Baseline,Present,7
4,9,Baseline,Present,4
4,10,Baseline,Present,6
4,11,Baseline,Present,5
4,12,Baseline,Present,6
4,13,Treatment,Absent,3
4,14,Treatment,Absent,3
4,15,Treatment,Absent,5
4,16,Treatment,Absent,5
4,17,Treatment,Absent,5
4,18,Treatment,Absent,3
4,19,Treatment,Present,2
4,20,Treatment,Present,1
4,21,Treatment,Present,2
4,22,Treatment,Present,4
4,23,Treatment,Present,4
4,24,Treatment,Present,1
5,1,Baseline,Absent,7
5,2,Baseline,Absent,6
5,3,Baseline,Absent,5
5,4,Baseline,Absent,7
5,5,Baseline,Absent,7
5,6,Baseline,Absent,6
5,7,Baseline,Present,7
5,8,Baseline,Present,6
5,9,Baseline,Present,6
5,10,Baseline,Present,7
5,11,Baseline,Present,6
5,12,Baseline,Present,5
5,13,Treatment,Absent,4
5,14,Treatment,Absent,7
5,15,Treatment,Absent,7
5,16,Treatment,Absent,7
5,17,Treatment,Absent,5
5,18,Treatment,Absent,4
5,19,Treatment,Present,1
5,20,Treatment,Present,4
5,21,Treatment,Present,2
5,22,Treatment,Present,2
5,23,Treatment,Present,2
5,24,Treatment,Present,3
6,1,Baseline,Absent,6
6,2,Baseline,Absent,6
6,3,Baseline,Absent,5
6,4,Baseline,Absent,6
6,5,Baseline,Absent,5
6,6,Baseline,Absent,5
6,7,Baseline,Present,5
6,8,Baseline,Present,5
6,9,Baseline,Present,6
6,10,Baseline,Present,6
6,11,Baseline,Present,5
6,12,Baseline,Present,5
6,13,Treatment,Absent,4
6,14,Treatment,Absent,3
6,15,Treatment,Absent,4
6,16,Treatment,Absent,3
6,17,Treatment,Absent,3
6,18,Treatment,Absent,3
6,19,Treatment,Present,1
6,20,Treatment,Present,1
6,21,Treatment,Present,1
6,22,Treatment,Present,2
6,23,Treatment,Present,2
6,24,Treatment,Present,4
7,1,Baseline,Absent,7
7,2,Baseline,Absent,6
7,3,Baseline,Absent,7
7,4,Baseline,Absent,7
7,5,Baseline,Absent,7
7,6,Baseline,Absent,7
7,7,Baseline,Present,7
7,8,Baseline,Present,7
7,9,Baseline,Present,7
7,10,Baseline,Present,5
7,11,Baseline,Present,7
7,12,Baseline,Present,5
7,13,Treatment,Absent,2
7,14,Treatment,Absent,1
7,15,Treatment,Absent,1
7,16,Treatment,Absent,2
7,17,Treatment,Absent,1
7,18,Treatment,Absent,1
7,19,Treatment,Present,2
7,20,Treatment,Present,1
7,21,Treatment,Present,1
7,22,Treatment,Present,4
7,23,Treatment,Present,3
7,24,Treatment,Present,4
8,1,Baseline,Absent,7
8,2,Baseline,Absent,7
8,3,Baseline,Absent,7
8,4,Baseline,Absent,6
8,5,Baseline,Absent,7
8,6,Baseline,Absent,7
8,7,Baseline,Present,5
8,8,Baseline,Present,6
8,9,Baseline,Present,5
8,10,Baseline,Present,5
8,11,Baseline,Present,5
8,12,Baseline,Present,7
8,13,Treatment,Absent,6
8,14,Treatment,Absent,4
8,15,Treatment,Absent,6
8,16,Treatment,Absent,5
8,17,Treatment,Absent,5
8,18,Treatment,Absent,6
8,19,Treatment,Present,2
8,20,Treatment,Present,3
8,21,Treatment,Present,2
8,22,Treatment,Present,2
8,23,Treatment,Present,1
8,24,Treatment,Present,3
9,1,Baseline,Absent,4
9,2,Baseline,Absent,3
9,3,Baseline,Absent,5
9,4,Baseline,Absent,6
9,5,Baseline,Absent,4
9,6,Baseline,Absent,3
9,7,Baseline,Present,4
9,8,Baseline,Present,5
9,9,Baseline,Present,5
9,10,Baseline,Present,5
9,11,Baseline,Present,4
9,12,Baseline,Present,5
9,13,Treatment,Absent,3
9,14,Treatment,Absent,4
9,15,Treatment,Absent,5
9,16,Treatment,Absent,4
9,17,Treatment,Absent,4
9,18,Treatment,Absent,5
9,19,Treatment,Present,4
9,20,Treatment,Present,2
9,21,Treatment,Present,2
9,22,Treatment,Present,2
9,23,Treatment,Present,1
9,24,Treatment,Present,2
10,1,Baseline,Absent,7
10,2,Baseline,Absent,5
10,3,Baseline,Absent,7
10,4,Baseline,Absent,7
10,5,Baseline,Absent,7
10,6,Baseline,Absent,6
10,7,Baseline,Present,5
10,8,Baseline,Present,5
10,9,Baseline,Present,7
10,10,Baseline,Present,7
10,11,Baseline,Present,6
10,12,Baseline,Present,6
10,13,Treatment,Absent,3
10,14,Treatment,Absent,6
10,15,Treatment,Absent,3
10,16,Treatment,Absent,5
10,17,Treatment,Absent,4
10,18,Treatment,Absent,4
10,19,Treatment,Present,4
10,20,Treatment,Present,4
10,21,Treatment,Present,1
10,22,Treatment,Present,2
10,23,Treatment,Present,3
10,24,Treatment,Present,4
11,7,Baseline,Absent,7
11,8,Baseline,Absent,7
11,9,Baseline,Absent,7
11,10,Baseline,Absent,5
11,11,Baseline,Absent,7
11,12,Baseline,Absent,6
11,1,Baseline,Present,5
11,2,Baseline,Present,5
11,3,Baseline,Present,6
11,4,Baseline,Present,7
11,5,Baseline,Present,6
11,6,Baseline,Present,6
11,19,Treatment,Absent,6
11,20,Treatment,Absent,3
11,21,Treatment,Absent,6
11,22,Treatment,Absent,6
11,23,Treatment,Absent,5
11,24,Treatment,Absent,5
11,13,Treatment,Present,2
11,14,Treatment,Present,2
11,15,Treatment,Present,3
11,16,Treatment,Present,2
11,17,Treatment,Present,4
11,18,Treatment,Present,3
12,7,Baseline,Absent,6
12,8,Baseline,Absent,7
12,9,Baseline,Absent,5
12,10,Baseline,Absent,6
12,11,Baseline,Absent,5
12,12,Baseline,Absent,6
12,1,Baseline,Present,5
12,2,Baseline,Present,7
12,3,Baseline,Present,7
12,4,Baseline,Present,6
12,5,Baseline,Present,5
12,6,Baseline,Present,7
12,19,Treatment,Absent,3
12,20,Treatment,Absent,6
12,21,Treatment,Absent,3
12,22,Treatment,Absent,5
12,23,Treatment,Absent,4
12,24,Treatment,Absent,3
12,13,Treatment,Present,2
12,14,Treatment,Present,1
12,15,Treatment,Present,2
12,16,Treatment,Present,4
12,17,Treatment,Present,2
12,18,Treatment,Present,1
13,7,Baseline,Absent,7
13,8,Baseline,Absent,6
13,9,Baseline,Absent,6
13,10,Baseline,Absent,7
13,11,Baseline,Absent,7
13,12,Baseline,Absent,5
13,1,Baseline,Present,5
13,2,Baseline,Present,6
13,3,Baseline,Present,6
13,4,Baseline,Present,6
13,5,Baseline,Present,7
13,6,Baseline,Present,6
13,19,Treatment,Absent,6
13,20,Treatment,Absent,4
13,21,Treatment,Absent,4
13,22,Treatment,Absent,3
13,23,Treatment,Absent,6
13,24,Treatment,Absent,4
13,13,Treatment,Present,1
13,14,Treatment,Present,2
13,15,Treatment,Present,4
13,16,Treatment,Present,2
13,17,Treatment,Present,4
13,18,Treatment,Present,2
14,7,Baseline,Absent,6
14,8,Baseline,Absent,5
14,9,Baseline,Absent,5
14,10,Baseline,Absent,5
14,11,Baseline,Absent,5
14,12,Baseline,Absent,5
14,1,Baseline,Present,5
14,2,Baseline,Present,6
14,3,Baseline,Present,7
14,4,Baseline,Present,6
14,5,Baseline,Present,7
14,6,Baseline,Present,6
14,19,Treatment,Absent,5
14,20,Treatment,Absent,5
14,21,Treatment,Absent,4
14,22,Treatment,Absent,3
14,23,Treatment,Absent,3
14,24,Treatment,Absent,4
14,13,Treatment,Present,4
14,14,Treatment,Present,2
14,15,Treatment,Present,3
14,16,Treatment,Present,3
14,17,Treatment,Present,2
14,18,Treatment,Present,3
15,7,Baseline,Absent,6
15,8,Baseline,Absent,7
15,9,Baseline,Absent,6
15,10,Baseline,Absent,7
15,11,Baseline,Absent,5
15,12,Baseline,Absent,6
15,1,Baseline,Present,5
15,2,Baseline,Present,5
15,3,Baseline,Present,6
15,4,Baseline,Present,6
15,5,Baseline,Present,6
15,6,Baseline,Present,5
15,19,Treatment,Absent,4
15,20,Treatment,Absent,3
15,21,Treatment,Absent,3
15,22,Treatment,Absent,3
15,23,Treatment,Absent,6
15,24,Treatment,Absent,3
15,13,Treatment,Present,1
15,14,Treatment,Present,1
15,15,Treatment,Present,1
15,16,Treatment,Present,1
15,17,Treatment,Present,2
15,18,Treatment,Present,2
16,7,Baseline,Absent,7
16,8,Baseline,Absent,6
16,9,Baseline,Absent,5
16,10,Baseline,Absent,5
16,11,Baseline,Absent,6
16,12,Baseline,Absent,7
16,1,Baseline,Present,6
16,2,Baseline,Present,7
16,3,Baseline,Present,6
16,4,Baseline,Present,5
16,5,Baseline,Present,5
16,6,Baseline,Present,7
16,19,Treatment,Absent,6
16,20,Treatment,Absent,4
16,21,Treatment,Absent,6
16,22,Treatment,Absent,4
16,23,Treatment,Absent,4
16,24,Treatment,Absent,6
16,13,Treatment,Present,4
16,14,Treatment,Present,4
16,15,Treatment,Present,3
16,16,Treatment,Present,4
16,17,Treatment,Present,4
16,18,Treatment,Present,3
17,7,Baseline,Absent,5
17,8,Baseline,Absent,7
17,9,Baseline,Absent,7
17,10,Baseline,Absent,7
17,11,Baseline,Absent,7
17,12,Baseline,Absent,7
17,1,Baseline,Present,6
17,2,Baseline,Present,5
17,3,Baseline,Present,5
17,4,Baseline,Present,7
17,5,Baseline,Present,5
17,6,Baseline,Present,6
17,19,Treatment,Absent,3
17,20,Treatment,Absent,4
17,21,Treatment,Absent,4
17,22,Treatment,Absent,3
17,23,Treatment,Absent,5
17,24,Treatment,Absent,6
17,13,Treatment,Present,4
17,14,Treatment,Present,2
17,15,Treatment,Present,4
17,16,Treatment,Present,3
17,17,Treatment,Present,3
17,18,Treatment,Present,3
18,7,Baseline,Absent,6
18,8,Baseline,Absent,7
18,9,Baseline,Absent,5
18,10,Baseline,Absent,5
18,11,Baseline,Absent,6
18,12,Baseline,Absent,6
18,1,Baseline,Present,6
18,2,Baseline,Present,7
18,3,Baseline,Present,5
18,4,Baseline,Present,6
18,5,Baseline,Present,6
18,6,Baseline,Present,5
18,19,Treatment,Absent,4
18,20,Treatment,Absent,5
18,21,Treatment,Absent,5
18,22,Treatment,Absent,4
18,23,Treatment,Absent,4
18,24,Treatment,Absent,3
18,13,Treatment,Present,2
18,14,Treatment,Present,4
18,15,Treatment,Present,3
18,16,Treatment,Present,1
18,17,Treatment,Present,2
18,18,Treatment,Present,4
19,7,Baseline,Absent,6
19,8,Baseline,Absent,6
19,9,Baseline,Absent,6
19,10,Baseline,Absent,7
19,11,Baseline,Absent,6
19,12,Baseline,Absent,6
19,1,Baseline,Present,5
19,2,Baseline,Present,7
19,3,Baseline,Present,5
19,4,Baseline,Present,7
19,5,Baseline,Present,7
19,6,Baseline,Present,7
19,19,Treatment,Absent,5
19,20,Treatment,Absent,5
19,21,Treatment,Absent,3
19,22,Treatment,Absent,5
19,23,Treatment,Absent,6
19,24,Treatment,Absent,6
19,13,Treatment,Present,4
19,14,Treatment,Present,1
19,15,Treatment,Present,4
19,16,Treatment,Present,2
19,17,Treatment,Present,4
19,18,Treatment,Present,4
20,7,Baseline,Absent,5
20,8,Baseline,Absent,6
20,9,Baseline,Absent,7
20,10,Baseline,Absent,5
20,11,Baseline,Absent,5
20,12,Baseline,Absent,5
20,1,Baseline,Present,7
20,2,Baseline,Present,5
20,3,Baseline,Present,6
20,4,Baseline,Present,6
20,5,Baseline,Present,7
20,6,Baseline,Present,6
20,19,Treatment,Absent,6
20,20,Treatment,Absent,6
20,21,Treatment,Absent,6
20,22,Treatment,Absent,5
20,23,Treatment,Absent,6
20,24,Treatment,Absent,6
20,13,Treatment,Present,4
20,14,Treatment,Present,2
20,15,Treatment,Present,4
20,16,Treatment,Present,2
20,17,Treatment,Present,4
20,18,Treatment,Present,3
21,13,Baseline,Absent,6
21,14,Baseline,Absent,6
21,15,Baseline,Absent,7
21,16,Baseline,Absent,7
21,17,Baseline,Absent,7
21,18,Baseline,Absent,6
21,19,Baseline,Present,7
21,20,Baseline,Present,6
21,21,Baseline,Present,6
21,22,Baseline,Present,6
21,23,Baseline,Present,6
21,24,Baseline,Present,7
21,1,Treatment,Absent,5
21,2,Treatment,Absent,5
21,3,Treatment,Absent,4
21,4,Treatment,Absent,6
21,5,Treatment,Absent,3
21,6,Treatment,Absent,4
21,7,Treatment,Present,1
21,8,Treatment,Present,1
21,9,Treatment,Present,2
21,10,Treatment,Present,3
21,11,Treatment,Present,2
21,12,Treatment,Present,1
22,13,Baseline,Absent,7
22,14,Baseline,Absent,6
22,15,Baseline,Absent,7
22,16,Baseline,Absent,5
22,17,Baseline,Absent,5
22,18,Baseline,Absent,6
22,19,Baseline,Present,5
22,20,Baseline,Present,5
22,21,Baseline,Present,7
22,22,Baseline,Present,7
22,23,Baseline,Present,5
22,24,Baseline,Present,7
22,1,Treatment,Absent,6
22,2,Treatment,Absent,3
22,3,Treatment,Absent,3
22,4,Treatment,Absent,3
22,5,Treatment,Absent,6
22,6,Treatment,Absent,5
22,7,Treatment,Present,3
22,8,Treatment,Present,4
22,9,Treatment,Present,2
22,10,Treatment,Present,4
22,11,Treatment,Present,2
22,12,Treatment,Present,1
23,13,Baseline,Absent,7
23,14,Baseline,Absent,6
23,15,Baseline,Absent,6
23,16,Baseline,Absent,5
23,17,Baseline,Absent,6
23,18,Baseline,Absent,7
23,19,Baseline,Present,7
23,20,Baseline,Present,5
23,21,Baseline,Present,5
23,22,Baseline,Present,5
23,23,Baseline,Present,7
23,24,Baseline,Present,5
23,1,Treatment,Absent,6
23,2,Treatment,Absent,3
23,3,Treatment,Absent,6
23,4,Treatment,Absent,5
23,5,Treatment,Absent,4
23,6,Treatment,Absent,3
23,7,Treatment,Present,4
23,8,Treatment,Present,2
23,9,Treatment,Present,4
23,10,Treatment,Present,3
23,11,Treatment,Present,3
23,12,Treatment,Present,4
24,13,Baseline,Absent,6
24,14,Baseline,Absent,7
24,15,Baseline,Absent,5
24,16,Baseline,Absent,6
24,17,Baseline,Absent,6
24,18,Baseline,Absent,5
24,19,Baseline,Present,5
24,20,Baseline,Present,5
24,21,Baseline,Present,7
24,22,Baseline,Present,7
24,23,Baseline,Present,5
