"","experiment","subject","item","condition","selection","selectCode"
"1","first",1,1,"Baseline","Option 2",0
"2","first",1,2,"Baseline","Option 1",1
"3","first",1,3,"Baseline","Option 2",0
"4","first",1,4,"Baseline","Option 2",0
"5","first",1,5,"Baseline","Option 1",1
"6","first",1,6,"Baseline","Option 1",1
"7","first",1,7,"Baseline","Option 2",0
"8","first",1,8,"Baseline","Option 1",1
"9","first",1,9,"Baseline","Option 2",0
"10","first",1,10,"Baseline","Option 2",0
"11","first",1,11,"Baseline","Option 1",1
"12","first",1,12,"Baseline","Option 2",0
"13","first",2,1,"Baseline","Option 1",1
"14","first",2,2,"Baseline","Option 2",0
"15","first",2,3,"Baseline","Option 2",0
"16","first",2,4,"Baseline","Option 2",0
"17","first",2,5,"Baseline","Option 1",1
"18","first",2,6,"Baseline","Option 2",0
"19","first",2,7,"Baseline","Option 1",1
"20","first",2,8,"Baseline","Option 1",1
"21","first",2,9,"Baseline","Option 2",0
"22","first",2,10,"Baseline","Option 2",0
"23","first",2,11,"Baseline","Option 1",1
"24","first",2,12,"Baseline","Option 2",0
"25","first",3,1,"Baseline","Option 1",1
"26","first",3,2,"Baseline","Option 2",0
"27","first",3,3,"Baseline","Option 2",0
"28","first",3,4,"Baseline","Option 1",1
"29","first",3,5,"Baseline","Option 1",1
"30","first",3,6,"Baseline","Option 1",1
"31","first",3,7,"Baseline","Option 1",1
"32","first",3,8,"Baseline","Option 2",0
"33","first",3,9,"Baseline","Option 2",0
"34","first",3,10,"Baseline","Option 2",0
"35","first",3,11,"Baseline","Option 2",0
"36","first",3,12,"Baseline","Option 2",0
"37","first",4,1,"Baseline","Option 1",1
"38","first",4,2,"Baseline","Option 2",0
"39","first",4,3,"Baseline","Option 1",1
"40","first",4,4,"Baseline","Option 2",0
"41","first",4,5,"Baseline","Option 2",0
"42","first",4,6,"Baseline","Option 1",1
"43","first",4,7,"Baseline","Option 2",0
"44","first",4,8,"Baseline","Option 1",1
"45","first",4,9,"Baseline","Option 2",0
"46","first",4,10,"Baseline","Option 1",1
"47","first",4,11,"Baseline","Option 1",1
"48","first",4,12,"Baseline","Option 1",1
"49","first",5,1,"Baseline","Option 2",0
"50","first",5,2,"Baseline","Option 1",1
"51","first",5,3,"Baseline","Option 2",0
"52","first",5,4,"Baseline","Option 2",0
"53","first",5,5,"Baseline","Option 2",0
"54","first",5,6,"Baseline","Option 2",0
"55","first",5,7,"Baseline","Option 1",1
"56","first",5,8,"Baseline","Option 1",1
"57","first",5,9,"Baseline","Option 2",0
"58","first",5,10,"Baseline","Option 1",1
"59","first",5,11,"Baseline","Option 1",1
"60","first",5,12,"Baseline","Option 2",0
"61","first",6,1,"Baseline","Option 1",1
"62","first",6,2,"Baseline","Option 2",0
"63","first",6,3,"Baseline","Option 1",1
"64","first",6,4,"Baseline","Option 2",0
"65","first",6,5,"Baseline","Option 2",0
"66","first",6,6,"Baseline","Option 2",0
"67","first",6,7,"Baseline","Option 1",1
"68","first",6,8,"Baseline","Option 1",1
"69","first",6,9,"Baseline","Option 1",1
"70","first",6,10,"Baseline","Option 2",0
"71","first",6,11,"Baseline","Option 1",1
"72","first",6,12,"Baseline","Option 1",1
"73","first",7,1,"Baseline","Option 2",0
"74","first",7,2,"Baseline","Option 1",1
"75","first",7,3,"Baseline","Option 2",0
"76","first",7,4,"Baseline","Option 2",0
"77","first",7,5,"Baseline","Option 1",1
"78","first",7,6,"Baseline","Option 2",0
"79","first",7,7,"Baseline","Option 2",0
"80","first",7,8,"Baseline","Option 1",1
"81","first",7,9,"Baseline","Option 2",0
"82","first",7,10,"Baseline","Option 1",1
"83","first",7,11,"Baseline","Option 1",1
"84","first",7,12,"Baseline","Option 2",0
"85","first",8,1,"Baseline","Option 1",1
"86","first",8,2,"Baseline","Option 1",1
"87","first",8,3,"Baseline","Option 2",0
"88","first",8,4,"Baseline","Option 2",0
"89","first",8,5,"Baseline","Option 1",1
"90","first",8,6,"Baseline","Option 1",1
"91","first",8,7,"Baseline","Option 1",1
"92","first",8,8,"Baseline","Option 1",1
"93","first",8,9,"Baseline","Option 2",0
"94","first",8,10,"Baseline","Option 1",1
"95","first",8,11,"Baseline","Option 1",1
"96","first",8,12,"Baseline","Option 2",0
"97","first",9,1,"Baseline","Option 2",0
"98","first",9,2,"Baseline","Option 1",1
"99","first",9,3,"Baseline","Option 2",0
"100","first",9,4,"Baseline","Option 2",0
"101","first",9,5,"Baseline","Option 2",0
"102","first",9,6,"Baseline","Option 1",1
"103","first",9,7,"Baseline","Option 1",1
"104","first",9,8,"Baseline","Option 2",0
"105","first",9,9,"Baseline","Option 1",1
"106","first",9,10,"Baseline","Option 2",0
"107","first",9,11,"Baseline","Option 1",1
"108","first",9,12,"Baseline","Option 1",1
"109","first",10,1,"Baseline","Option 1",1
"110","first",10,2,"Baseline","Option 1",1
"111","first",10,3,"Baseline","Option 1",1
"112","first",10,4,"Baseline","Option 2",0
"113","first",10,5,"Baseline","Option 2",0
"114","first",10,6,"Baseline","Option 2",0
"115","first",10,7,"Baseline","Option 1",1
"116","first",10,8,"Baseline","Option 1",1
"117","first",10,9,"Baseline","Option 1",1
"118","first",10,10,"Baseline","Option 1",1
"119","first",10,11,"Baseline","Option 2",0
"120","first",10,12,"Baseline","Option 1",1
"121","first",11,1,"Baseline","Option 1",1
"122","first",11,2,"Baseline","Option 1",1
"123","first",11,3,"Baseline","Option 2",0
"124","first",11,4,"Baseline","Option 2",0
"125","first",11,5,"Baseline","Option 2",0
"126","first",11,6,"Baseline","Option 2",0
"127","first",11,7,"Baseline","Option 2",0
"128","first",11,8,"Baseline","Option 1",1
"129","first",11,9,"Baseline","Option 2",0
"130","first",11,10,"Baseline","Option 1",1
"131","first",11,11,"Baseline","Option 1",1
"132","first",11,12,"Baseline","Option 2",0
"133","first",12,1,"Baseline","Option 1",1
"134","first",12,2,"Baseline","Option 1",1
"135","first",12,3,"Baseline","Option 1",1
"136","first",12,4,"Baseline","Option 1",1
"137","first",12,5,"Baseline","Option 1",1
"138","first",12,6,"Baseline","Option 2",0
"139","first",12,7,"Baseline","Option 1",1
"140","first",12,8,"Baseline","Option 2",0
"141","first",12,9,"Baseline","Option 2",0
"142","first",12,10,"Baseline","Option 1",1
"143","first",12,11,"Baseline","Option 1",1
"144","first",12,12,"Baseline","Option 2",0
"145","first",13,1,"Baseline","Option 1",1
"146","first",13,2,"Baseline","Option 2",0
"147","first",13,3,"Baseline","Option 1",1
"148","first",13,4,"Baseline","Option 1",1
